# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
76,1773201541.914861,243200,-1.246895432472229,0.5270048975944519,1.24661386013031,0.29614150524139404,1.246886968612671,2.099903106689453
77,1773201547.0661037,246400,-1.246895432472229,0.5270048975944519,1.2469810247421265,0.4952964782714844,1.246886968612671,2.099903106689453
78,1773201555.9200826,249600,-1.2476750612258911,0.31203174591064453,1.2469810247421265,0.4952964782714844,1.246886968612671,2.099903106689453
79,1773201556.7468555,252800,-1.2476750612258911,0.31203174591064453,1.2469810247421265,0.4952964782714844,1.2478115558624268,1.9798187017440796
80,1773201561.166957,256000,-1.2476750612258911,0.31203174591064453,1.247710108757019,0.30190956592559814,1.2478115558624268,1.9798187017440796
81,1773201571.1805656,259200,-1.250441074371338,0.5783390402793884,1.247710108757019,0.30190956592559814,1.2478115558624268,1.9798187017440796
82,1773201571.5858293,262400,-1.250441074371338,0.5783390402793884,1.247710108757019,0.30190956592559814,1.2499366998672485,2.355736494064331
83,1773201575.9671047,265600,-1.250441074371338,0.5783390402793884,1.249526858329773,0.7151123881340027,1.2499366998672485,2.355736494064331
84,1773201585.4749599,268800,-1.2488996982574463,0.4207794964313507,1.249526858329773,0.7151123881340027,1.2499366998672485,2.355736494064331
85,1773201585.8892584,272000,-1.2488996982574463,0.4207794964313507,1.249526858329773,0.7151123881340027,1.2490181922912598,1.8153029680252075
86,1773201590.152283,275200,-1.2488996982574463,0.4207794964313507,1.2502328157424927,0.2890632748603821,1.2490181922912598,1.8153029680252075
87,1773201599.6345732,278400,-1.252174735069275,0.6258988976478577,1.2502328157424927,0.2890632748603821,1.2490181922912598,1.8153029680252075
88,1773201599.9848611,281600,-1.252174735069275,0.6258988976478577,1.2502328157424927,0.2890632748603821,1.2522822618484497,2.326929807662964
89,1773201604.8610787,284800,-1.252174735069275,0.6258988976478577,1.252676248550415,0.4418749213218689,1.2522822618484497,2.326929807662964
90,1773201613.596299,288000,-1.2517434358596802,0.41817450523376465,1.252676248550415,0.4418749213218689,1.2522822618484497,2.326929807662964
91,1773201614.1518126,291200,-1.2517434358596802,0.41817450523376465,1.252676248550415,0.4418749213218689,1.252328872680664,1.943772792816162
92,1773201618.7202158,294400,-1.2517434358596802,0.41817450523376465,1.2533674240112305,0.5478599667549133,1.252328872680664,1.943772792816162
93,1773201627.5576766,297600,-1.2538764476776123,0.6118341088294983,1.2533674240112305,0.5478599667549133,1.252328872680664,1.943772792816162
94,1773201628.3958333,300800,-1.2538764476776123,0.6118341088294983,1.2533674240112305,0.5478599667549133,1.2538186311721802,2.2326784133911133
95,1773201632.4387202,304000,-1.2538764476776123,0.6118341088294983,1.2540282011032104,0.3574623465538025,1.2538186311721802,2.2326784133911133
96,1773201641.9781914,307200,-1.2581253051757812,0.5373886227607727,1.2540282011032104,0.3574623465538025,1.2538186311721802,2.2326784133911133
